country,date,total
Turkey,2021-01-01,21093
Turkey,2021-01-10,22807
Turkey,2021-01-11,22981
Turkey,2021-01-12,23152
Turkey,2021-01-13,23325
Turkey,2021-01-14,23495
Turkey,2021-01-15,23664
Turkey,2021-01-16,23832
Turkey,2021-01-17,23997
Turkey,2021-01-18,24161
Turkey,2021-01-19,24328
Turkey,2021-01-02,21295
Turkey,2021-01-20,24487
Turkey,2021-01-21,24640
Turkey,2020-01-22,0
Turkey,2021-01-22,24789
Turkey,2020-01-23,0
Turkey,2021-01-23,24933
Turkey,2020-01-24,0
Turkey,2021-01-24,25073
Turkey,2020-01-25,0
Turkey,2021-01-25,25210
Turkey,2020-01-26,0
Turkey,2021-01-26,25344
Turkey,2020-01-27,0
Turkey,2021-01-27,25476
Turkey,2020-01-28,0
Turkey,2021-01-28,25605
Turkey,2020-01-29,0
Turkey,2021-01-29,25736
Turkey,2021-01-03,21488
Turkey,2020-01-30,0
Turkey,2021-01-30,25865
Turkey,2020-01-31,0
Turkey,2021-01-31,25993
Turkey,2021-01-04,21685
Turkey,2021-01-05,21879
Turkey,2021-01-06,22070
Turkey,2021-01-07,22264
Turkey,2021-01-08,22450
Turkey,2021-01-09,22631
Turkey,2020-10-01,8262
Turkey,2020-10-10,8778
Turkey,2020-10-11,8837
Turkey,2020-10-12,8895
Turkey,2020-10-13,8957
Turkey,2020-10-14,9014
Turkey,2020-10-15,9080
Turkey,2020-10-16,9153
Turkey,2020-10-17,9224
Turkey,2020-10-18,9296
Turkey,2020-10-19,9371
Turkey,2020-10-02,8325
Turkey,2020-10-20,9445
Turkey,2020-10-21,9513
Turkey,2020-10-22,9584
Turkey,2020-10-23,9658
Turkey,2020-10-24,9727
Turkey,2020-10-25,9799
Turkey,2020-10-26,9874
Turkey,2020-10-27,9950
Turkey,2020-10-28,10027
Turkey,2020-10-29,10099
Turkey,2020-10-03,8384
Turkey,2020-10-30,10177
Turkey,2020-10-31,10252
Turkey,2020-10-04,8441
Turkey,2020-10-05,8498
Turkey,2020-10-06,8553
Turkey,2020-10-07,8609
Turkey,2020-10-08,8667
Turkey,2020-10-09,8722
Turkey,2020-11-01,10326
Turkey,2020-11-10,11059
Turkey,2020-11-11,11145
Turkey,2020-11-12,11233
Turkey,2020-11-13,11326
Turkey,2020-11-14,11418
Turkey,2020-11-15,11507
Turkey,2020-11-16,11601
Turkey,2020-11-17,11704
Turkey,2020-11-18,11820
Turkey,2020-11-19,11943
Turkey,2020-11-02,10402
Turkey,2020-11-20,12084
Turkey,2020-11-21,12219
Turkey,2020-11-22,12358
Turkey,2020-11-23,12511
Turkey,2020-11-24,12672
Turkey,2020-11-25,12840
Turkey,2020-11-26,13014
Turkey,2020-11-27,13191
Turkey,2020-11-28,13373
Turkey,2020-11-29,13558
Turkey,2020-11-03,10481
Turkey,2020-11-30,13746
Turkey,2020-11-04,10558
Turkey,2020-11-05,10639
Turkey,2020-11-06,10722
Turkey,2020-11-07,10803
Turkey,2020-11-08,10887
Turkey,2020-11-09,10972
Turkey,2020-12-01,13936
Turkey,2020-12-10,15751
Turkey,2020-12-11,15977
Turkey,2020-12-12,16199
Turkey,2020-12-13,16417
Turkey,2020-12-14,16646
Turkey,2020-12-15,16881
Turkey,2020-12-16,17121
Turkey,2020-12-17,17364
Turkey,2020-12-18,17610
Turkey,2020-12-19,17851
Turkey,2020-12-02,14129
Turkey,2020-12-20,18097
Turkey,2020-12-21,18351
Turkey,2020-12-22,18602
Turkey,2020-12-23,18861
Turkey,2020-12-24,19115
Turkey,2020-12-25,19371
Turkey,2020-12-26,19624
Turkey,2020-12-27,19878
Turkey,2020-12-28,20135
Turkey,2020-12-29,20388
Turkey,2020-12-03,14316
Turkey,2020-12-30,20642
Turkey,2020-12-31,20881
Turkey,2020-12-04,14509
Turkey,2020-12-05,14705
Turkey,2020-12-06,14900
Turkey,2020-12-07,15103
Turkey,2020-12-08,15314
Turkey,2020-12-09,15531
Turkey,2020-02-01,0
Turkey,2021-02-01,26117
Turkey,2020-02-10,0
Turkey,2021-02-10,27093
Turkey,2020-02-11,0
Turkey,2021-02-11,27187
Turkey,2020-02-12,0
Turkey,2021-02-12,27284
Turkey,2020-02-13,0
Turkey,2021-02-13,27377
Turkey,2020-02-14,0
Turkey,2021-02-14,27471
Turkey,2020-02-15,0
Turkey,2021-02-15,27562
Turkey,2020-02-16,0
Turkey,2021-02-16,27652
Turkey,2020-02-17,0
Turkey,2021-02-17,27738
